,Latitude,Longitude,Dec 25
5,43.47,-114.26,19.0
6,42.34,-111.39,8.0
8,43.63,-116.2,0.2
10,43.57,-116.14,0.3
12,43.67,-116.27,0.5
14,43.57,-116.24,1.2
15,43.65,-115.99,3.0
17,43.55,-116.13,1.5
19,43.57,-116.21,1.0
20,48.69,-116.31,10.0
24,43.98,-113.83,1.0
28,45.57,-115.45,33.0
31,42.43,-112.13,7.0
39,42.94,-114.71,2.0
40,45.93,-116.12,9.5
41,45.92,-116.13,6.0
48,43.65,-117.0,0.0
49,48.21,-116.38,13.0
52,43.62,-111.88,2.5
54,42.8,-112.23,5.0
56,46.52,-116.67,0.0
58,46.31,-116.06,8.7
59,47.53,-116.13,8.0
65,46.37,-117.02,0.0
66,42.12,-111.31,7.0
67,44.89,-116.1,20.0
70,43.77,-111.96,4.0
76,46.75,-117.0,5.0
77,46.73,-116.96,5.0
81,42.03,-115.36,9.0
83,46.5,-116.34,0.0
86,43.31,-114.07,9.0
87,46.49,-115.8,20.0
88,47.53,-116.24,5.1
89,42.9,-112.43,1.7
91,42.92,-112.57,1.2
92,46.96,-116.86,8.0
93,47.64,-115.92,31.0
99,43.05,-114.15,5.0
100,43.68,-111.91,1.0
101,43.69,-111.89,4.0
111,48.4,-116.32,22.0
113,43.38,-112.17,3.5
114,42.66,-111.59,12.0
115,47.96,-116.79,14.0
116,43.97,-111.64,2.5
120,43.85,-111.75,3.0
121,43.44,-111.28,4.0
123,44.96,-115.5,13.0
0,41.2,-90.74,0.0
1,42.17,-88.3,0.0
2,38.87,-90.15,0.0
3,41.12,-90.16,0.0
5,41.71,-89.34,0.0
6,39.95,-90.33,0.0
8,39.71,-88.49,0.0
9,41.86,-89.23,0.0
10,39.93,-89.8,0.0
11,40.23,-90.95,0.0
13,41.73,-88.24,0.0
14,41.73,-88.24,0.0
15,40.66,-90.44,0.0
16,42.12,-88.16,0.0
17,41.85,-88.31,0.0
18,41.86,-88.33,0.0
19,41.83,-88.36,0.0
22,38.52,-89.84,0.0
25,40.34,-91.11,0.0
26,40.5,-88.93,0.0
27,40.46,-89.06,0.0
29,41.18,-87.94,0.0
32,39.9,-89.38,0.0
33,42.19,-87.96,0.0
34,42.32,-88.39,0.0
35,41.38,-87.68,0.0
36,41.73,-87.95,0.0
37,38.56,-90.15,0.0
38,40.54,-90.04,0.0
39,42.4,-88.74,0.0
40,41.34,-88.3,0.0
